wavelength,irradiance 
351.08,0.99690
351.43,0.99068
351.79,0.98431
352.15,0.97859
352.52,0.97285
352.88,0.98783
353.24,1.0139
353.61,1.0403
353.98,1.0626
354.34,1.0810
354.71,1.0920
355.08,1.0814
355.46,1.0536
355.83,1.0227
356.20,0.98742
356.58,0.93863
356.96,0.88505
357.34,0.84712
357.72,0.82780
358.10,0.82212
358.48,0.83202
358.86,0.86381
359.25,0.90190
359.64,0.94210
360.03,0.96266
360.42,0.96911
360.81,0.96913
361.20,0.96917
361.59,0.96295
361.99,0.96290
362.39,0.97760
362.79,0.99782
363.19,1.0084
363.59,1.0199
363.99,1.0432
364.39,1.0689
364.80,1.0894
365.21,1.1180
365.62,1.1604
366.03,1.1888
366.44,1.2048
366.85,1.2084
367.27,1.2093
367.69,1.2017
368.10,1.1963
368.52,1.1926
368.95,1.1931
369.37,1.2031
369.79,1.2134
370.22,1.2064
370.65,1.1952
371.08,1.1847
371.51,1.1631
371.94,1.1244
372.38,1.0844
372.81,1.0490
373.25,1.0166
373.69,0.98885
374.13,0.97715
374.58,0.98267
375.02,0.99732
375.47,1.0304
375.92,1.0790
376.37,1.1296
376.82,1.1723
377.28,1.2158
377.73,1.2412
378.19,1.2505
378.65,1.2496
379.11,1.2375
379.57,1.2137
380.04,1.1840
380.51,1.1508
380.98,1.1063
381.45,1.0459
381.92,0.98159
382.39,0.92473
382.87,0.88438
383.35,0.86044
383.83,0.85988
384.31,0.88886
384.80,0.92805
385.28,0.95993
385.77,0.98272
386.26,0.99700
386.76,1.0064
387.25,1.0116
387.75,1.0249
388.25,1.0444
388.75,1.0787
389.25,1.1237
389.76,1.1691
390.26,1.2005
390.77,1.2000
391.29,1.1709
391.80,1.1205
392.32,1.0556
392.84,0.99648
393.36,0.96226
393.88,0.96069
394.40,0.97011
394.93,0.98834
395.46,1.0170
395.99,1.0441
396.53,1.0742
397.07,1.1149
397.61,1.1920
398.15,1.2907
398.69,1.3945
399.24,1.4997
399.79,1.5973
400.34,1.6681
400.89,1.7069
401.45,1.7336
402.01,1.7442
402.57,1.7458
403.13,1.7405
403.70,1.7279
404.27,1.7138
404.84,1.6952
405.41,1.6817
405.99,1.6756
406.57,1.6802
407.15,1.6833
407.74,1.6878
408.33,1.6975
408.92,1.7103
409.51,1.7200
410.11,1.7249
410.70,1.7354
411.31,1.7571
411.91,1.7708
412.52,1.7785
413.13,1.7869
413.74,1.7993
414.36,1.8015
414.98,1.7951
415.60,1.7890
416.22,1.7854
416.85,1.7771
417.48,1.7633
418.11,1.7564
418.75,1.7556
419.39,1.7540
420.04,1.7510
420.68,1.7527
421.33,1.7565
421.98,1.7507
422.64,1.7407
423.30,1.7330
423.96,1.7267
424.63,1.7155
425.30,1.7038
425.97,1.6920
426.65,1.6738
427.32,1.6368
428.01,1.5924
428.69,1.5627
429.38,1.5317
